unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
272251,6805,8,a1 a3 a5 b2 b4 b6 c1,11,18,-7,0
272253,19093,8,a1 a3 a5 b2 b4 b6 c3,11,18,-7,0
272255,9578,8,a2 a4 a6 b1 b3 b5 c2,18,11,7,0
272258,526997,8,a1 a3 a5 b2 b4 b6 d2,11,18,-7,0
272260,1049962,8,a2 a4 a6 b1 b3 b5 d3,18,11,7,0
272262,263530,8,a2 a4 a6 b1 b3 b5 d1,18,11,7,0
272263,16779925,8,a1 a3 a5 b2 b4 b6 e1,11,18,-7,0
272265,67111573,8,a1 a3 a5 b2 b4 b6 e3,11,18,-7,0
272267,33555818,8,a2 a4 a6 b1 b3 b5 e2,18,11,7,0
272270,1644437570,8,a2 b1 c2 d1 e2 e6 f1,18,11,7,0
272272,1107697730,8,a2 b1 c2 c6 d1 e2 f1,18,11,7,0
272274,1073743210,8,a2 a4 a6 b1 b3 b5 f1,18,11,7,0
272276,21141,8,a1 a3 a5 b2 b4 c1 c3,11,18,-7,0
272278,70293,8,a1 a3 a5 b2 b4 c1 c5,11,18,-7,0
272280,529045,8,a1 a3 a5 b2 b4 c1 d2,11,18,-7,0
272282,1180970,8,a2 a4 a6 b3 b5 c6 d3,18,11,7,0
272284,394538,8,a2 a4 a6 b3 b5 c6 d1,18,11,7,0
272285,16781973,8,a1 a3 a5 b2 b4 c1 e1,11,18,-7,0
272287,17371269,8,a1 a3 b2 c1 c5 d2 e1,11,18,-7,0
272289,33686826,8,a2 a4 a6 b3 b5 c6 e2,18,11,7,0
272292,17307781,8,a1 a3 b2 b6 c1 d2 e1,11,18,-7,0
272294,25694341,8,a1 a3 b2 c1 d2 d6 e1,11,18,-7,0
272296,1073874218,8,a2 a4 a6 b3 b5 c6 f1,18,11,7,0
272320,42282,8,a2 a4 a6 b3 b5 c2 c4,18,11,7,0
272323,541333,8,a1 a3 a5 b2 b4 c3 d2,11,18,-7,0
272325,1082666,8,a2 a4 a6 b3 b5 c4 d3,18,11,7,0
272327,296234,8,a2 a4 a6 b3 b5 c4 d1,18,11,7,0
272328,16794261,8,a1 a3 a5 b2 b4 c3 e1,11,18,-7,0
272330,17387649,8,a1 b2 c1 c3 c5 d2 e1,11,18,-7,0
272332,33588522,8,a2 a4 a6 b3 b5 c4 e2,18,11,7,0
272335,17324161,8,a1 b2 b6 c1 c3 d2 e1,11,18,-7,0
272337,25710721,8,a1 b2 c1 c3 d2 d6 e1,11,18,-7,0
272339,1073775914,8,a2 a4 a6 b3 b5 c4 f1,18,11,7,0
272362,590485,8,a1 a3 a5 b2 b4 c5 d2,11,18,-7,0
272364,1058090,8,a2 a4 a6 b3 b5 c2 d3,18,11,7,0
272366,271658,8,a2 a4 a6 b3 b5 c2 d1,18,11,7,0
272367,16843413,8,a1 a3 a5 b2 b4 c5 e1,11,18,-7,0
272369,67175061,8,a1 a3 a5 b2 b4 c5 e3,11,18,-7,0
272371,33563946,8,a2 a4 a6 b3 b5 c2 e2,18,11,7,0
272374,84416641,8,a1 b2 b6 c1 d2 e1 e3,11,18,-7,0
272376,92803201,8,a1 b2 c1 d2 d6 e1 e3,11,18,-7,0
272378,1073751338,8,a2 a4 a6 b3 b5 c2 f1,18,11,7,0
272415,2622101,8,a1 a3 a5 b2 b4 d2 d4,11,18,-7,0
272417,4457770,8,a2 a4 a6 b3 b5 d1 d5,18,11,7,0
272418,17302165,8,a1 a3 a5 b2 b4 d2 e1,11,18,-7,0
272420,17371777,8,a1 b2 b4 c1 c5 d2 e1,11,18,-7,0
272422,37750058,8,a2 a4 a6 b3 b5 d5 e2,18,11,7,0
272425,17308289,8,a1 b2 b4 b6 c1 d2 e1,11,18,-7,0
272427,25694849,8,a1 b2 b4 c1 d2 d6 e1,11,18,-7,0
272429,1077937450,8,a2 a4 a6 b3 b5 d5 f1,18,11,7,0
272446,1312042,8,a2 a4 a6 b3 b5 d1 d3,18,11,7,0
272447,18875029,8,a1 a3 a5 b2 b4 d4 e1,11,18,-7,0
272449,19468417,8,a1 b2 c1 c5 d2 d4 e1,11,18,-7,0
272451,34604330,8,a2 a4 a6 b3 b5 d3 e2,18,11,7,0
272454,19404929,8,a1 b2 b6 c1 d2 d4 e1,11,18,-7,0
272456,27791489,8,a1 b2 c1 d2 d4 d6 e1,11,18,-7,0
272458,1074791722,8,a2 a4 a6 b3 b5 d3 f1,18,11,7,0
272472,25166485,8,a1 a3 a5 b2 b4 d6 e1,11,18,-7,0
272474,75498133,8,a1 a3 a5 b2 b4 d6 e3,11,18,-7,0
272476,33817898,8,a2 a4 a6 b3 b5 d1 e2,18,11,7,0
272479,1644437576,8,a4 b1 c2 d1 e2 e6 f1,18,11,7,0
272481,1107697736,8,a4 b1 c2 c6 d1 e2 f1,18,11,7,0
272483,1074005290,8,a2 a4 a6 b3 b5 d1 f1,18,11,7,0
272485,17371281,8,a1 a5 b2 c1 c5 d2 e1,11,18,-7,0
272487,285213333,8,a1 a3 a5 b2 b4 e1 e5,11,18,-7,0
272489,17307793,8,a1 a5 b2 b6 c1 d2 e1,11,18,-7,0
272491,25694353,8,a1 a5 b2 c1 d2 d6 e1,11,18,-7,0
272493,1610614058,8,a2 a4 a6 b3 b5 e6 f1,18,11,7,0
272505,167773482,8,a2 a4 a6 b3 b5 e2 e4,18,11,7,0
272508,17373313,8,a1 b2 b6 c1 c5 d2 e1,11,18,-7,0
272510,25759873,8,a1 b2 c1 c5 d2 d6 e1,11,18,-7,0
272512,1111760992,8,a6 b1 c2 d1 d5 e2 f1,18,11,7,0
272523,285743233,8,a1 b2 b6 c1 d2 e1 e5,11,18,-7,0
272525,294129793,8,a1 b2 c1 d2 d6 e1 e5,11,18,-7,0
272527,1107297578,8,a2 a4 a6 b3 b5 e2 f1,18,11,7,0
272538,25696385,8,a1 b2 b6 c1 d2 d6 e1,11,18,-7,0
272540,1614939232,8,a6 b1 b5 c6 d5 e6 f1,18,11,7,0
272545,1107697760,8,a6 b1 c2 c6 d1 e2 f1,18,11,7,0
272842,22677,8,a1 a3 a5 b2 b6 c1 c3,11,18,-7,0
272844,71829,8,a1 a3 a5 b2 b6 c1 c5,11,18,-7,0
272846,530581,8,a1 a3 a5 b2 b6 c1 d2,11,18,-7,0
272848,1180778,8,a2 a4 a6 b1 b5 c6 d3,18,11,7,0
272850,394346,8,a2 a4 a6 b1 b5 c6 d1,18,11,7,0
272851,16783509,8,a1 a3 a5 b2 b6 c1 e1,11,18,-7,0
272853,67115157,8,a1 a3 a5 b2 b6 c1 e3,11,18,-7,0
272855,33686634,8,a2 a4 a6 b1 b5 c6 e2,18,11,7,0
272858,2147489941,8,a1 a3 a5 b2 b6 c1 f2,11,18,-7,0
272860,2172653701,8,a1 a3 b2 c1 d6 e1 f2,11,18,-7,0
272862,1073874026,8,a2 a4 a6 b1 b5 c6 f1,18,11,7,0
272886,42090,8,a2 a4 a6 b1 b5 c2 c4,18,11,7,0
272889,542869,8,a1 a3 a5 b2 b6 c3 d2,11,18,-7,0
272891,1082474,8,a2 a4 a6 b1 b5 c4 d3,18,11,7,0
272893,296042,8,a2 a4 a6 b1 b5 c4 d1,18,11,7,0
272894,16795797,8,a1 a3 a5 b2 b6 c3 e1,11,18,-7,0
272896,67127445,8,a1 a3 a5 b2 b6 c3 e3,11,18,-7,0
272898,33588330,8,a2 a4 a6 b1 b5 c4 e2,18,11,7,0
272901,1645477954,8,a2 b1 d1 d3 e2 e6 f1,18,11,7,0
272903,1108738114,8,a2 b1 c6 d1 d3 e2 f1,18,11,7,0
272905,1073775722,8,a2 a4 a6 b1 b5 c4 f1,18,11,7,0
272928,592021,8,a1 a3 a5 b2 b6 c5 d2,11,18,-7,0
272930,1057898,8,a2 a4 a6 b1 b5 c2 d3,18,11,7,0
