unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible,solution_count
566,4285,8,a1 a3 a4 a5 a6 b2 c1,13,16,-3,1,0
5436,2426,8,a2 a4 a5 a6 b1 b3 b6,16,13,3,1,0
5813,1402,8,a2 a4 a5 a6 b1 b3 b5,17,12,5,1,0
5814,4759,8,a1 a2 a3 a5 b2 b4 c1,12,17,-5,1,0
5816,17047,8,a1 a2 a3 a5 b2 b4 c3,12,17,-5,1,0
5863,6295,8,a1 a2 a3 a5 b2 b6 c1,12,17,-5,1,0
6164,890,8,a2 a4 a5 a6 b1 b3 b4,16,13,3,1,0
6514,506,8,a2 a4 a5 a6 b1 b2 b3,16,13,3,1,0
6539,6679,8,a1 a2 a3 a5 b4 b6 c1,12,17,-5,1,0
6540,10775,8,a1 a2 a3 a5 b4 b6 c2,13,16,-3,1,0
6541,18967,8,a1 a2 a3 a5 b4 b6 c3,12,17,-5,1,0
6542,16762,8,a2 a4 a5 a6 b1 b3 c3,16,13,3,1,0
6543,8570,8,a2 a4 a5 a6 b1 b3 c2,17,12,5,1,0
6544,4474,8,a2 a4 a5 a6 b1 b3 c1,16,13,3,1,0
6545,264727,8,a1 a2 a3 a5 b4 b6 d1,13,16,-3,1,0
6546,526871,8,a1 a2 a3 a5 b4 b6 d2,12,17,-5,1,0
6547,1051159,8,a1 a2 a3 a5 b4 b6 d3,13,16,-3,1,0
6548,1048954,8,a2 a4 a5 a6 b1 b3 d3,17,12,5,1,0
6549,524666,8,a2 a4 a5 a6 b1 b3 d2,16,13,3,1,0
6550,262522,8,a2 a4 a5 a6 b1 b3 d1,17,12,5,1,0
6551,16779799,8,a1 a2 a3 a5 b4 b6 e1,12,17,-5,1,0
6552,33557015,8,a1 a2 a3 a5 b4 b6 e2,13,16,-3,1,0
6553,67111447,8,a1 a2 a3 a5 b4 b6 e3,12,17,-5,1,0
6554,67109242,8,a2 a4 a5 a6 b1 b3 e3,16,13,3,1,0
6555,33554810,8,a2 a4 a5 a6 b1 b3 e2,17,12,5,1,0
6556,16777594,8,a2 a4 a5 a6 b1 b3 e1,16,13,3,1,0
6557,1073744407,8,a1 a2 a3 a5 b4 b6 f1,13,16,-3,1,0
6558,1627660354,8,a2 b1 c2 d1 e1 e6 f1,17,12,5,1,0
6559,1099178050,8,a2 b1 c2 d1 d6 e1 f1,16,13,3,1,0
6560,1090920514,8,a2 b1 c2 c6 d1 e1 f1,17,12,5,1,0
6561,1090791490,8,a2 b1 b6 c2 d1 e1 f1,16,13,3,1,0
6562,1073742202,8,a2 a4 a5 a6 b1 b3 f1,17,12,5,1,0
6779,17307729,8,a1 a5 b1 b6 c1 d2 e1,12,17,-5,1,0
6822,1090791504,8,a5 b1 b6 c2 d1 e1 f1,15,14,1,1,0
7231,270458,8,a2 a4 a5 a6 b1 c2 d1,17,12,5,1,0
7355,2164262935,8,a1 a2 a3 a5 b6 e1 f2,12,17,-5,1,0
7398,1090783314,8,a2 a5 b1 b6 d1 e1 f1,15,14,1,1,0
13958,12619,8,a1 a2 a4 b1 b3 c1 c2,16,13,3,1,0
17330,21127,8,a1 a2 a3 b2 b4 c1 c3,12,17,-5,1,0
18207,21189,8,a1 a3 b1 b2 b4 c1 c3,12,17,-5,1,0
18302,4821,8,a1 a3 a5 b1 b2 b4 c1,12,17,-5,1,0
18374,6357,8,a1 a3 a5 b1 b2 b6 c1,12,17,-5,1,0
18417,2164393016,8,a4 a5 a6 b5 c6 e1 f2,15,14,1,1,0
31198,6741,8,a1 a3 a5 b1 b4 b6 c1,12,17,-5,1,0
37304,1090783764,8,a3 a5 b4 b6 d1 e1 f1,13,16,-3,1,0
38137,136297,8,a1 a4 a6 b1 b5 c1 c6,16,13,3,1,0
38623,72273,8,a1 a5 b1 b4 b6 c1 c5,12,17,-5,1,0
39853,1090849296,8,a5 b4 b6 c5 d1 e1 f1,13,16,-3,1,0
40104,1090913320,8,a4 a6 b5 c6 d1 e1 f1,17,12,5,1,0
40207,403554,8,a2 a6 b1 b6 c2 c6 d1,17,12,5,1,0
40272,2164394082,8,a2 a6 b1 b6 c6 e1 f2,15,14,1,1,0
40529,1099237392,8,a5 b6 c5 d1 d6 e1 f1,13,16,-3,1,0
40641,2395,8,a1 a2 a4 a5 b1 b3 b6,15,14,1,1,0
40642,8539,8,a1 a2 a4 a5 b1 b3 c2,16,13,3,1,0
40992,1654,8,a2 a3 a5 a6 b1 b4 b5,15,14,1,1,0
